OrderNumber;Sales Channel;WarehouseCode;ProcuredDate;OrderDate;ShipDate;DeliveryDate;CurrencyCode;SalesTeamID;SalesTeamHead;CustomerID;CosutmerName;StoreID;ProductID;ProductName;Order Quantity;Discount Applied;Unit Price;Unit Cost
SO - 0001067;Online;WARE-XYS1001;19/7/2018;21/9/2018;25/9/2018;3/10/2018;USD;18;Shawn Wallace;3;Elorac, Corp;58;11;Ornaments;7;0,4;2458,9;1819,586
SO - 0001068;In-Store;WARE-MKL1006;10/4/2018;21/9/2018;14/10/2018;15/10/2018;USD;3;Jerry Green;42;Llorens Ltd;357;18;Basketball;8;0,05;924,6;656,466
SO - 0001069;In-Store;WARE-NMK1003;10/4/2018;21/9/2018;3/10/2018;12/10/2018;USD;8;George Lewis;12;Medline ;101;21;Floral;8;0,05;6344,9;3235,899
SO - 0001070;Online;WARE-XYS1001;19/7/2018;21/9/2018;9/10/2018;12/10/2018;USD;18;Shawn Wallace;14;Linde ;22;44;Pillows;2;0,4;3932,9;2910,346
SO - 0001071;Distributor;WARE-PUJ1005;10/4/2018;22/9/2018;16/10/2018;26/10/2018;USD;23;Douglas Tucker;3;Elorac, Corp;296;40;Rugs;5;0,075;1112,2;500,49
SO - 0001072;Distributor;WARE-UHY1004;19/7/2018;22/9/2018;1/10/2018;3/10/2018;USD;23;Douglas Tucker;46;U.S. Ltd;261;30;Wall Coverings;7;0,15;904,5;370,845
SO - 0001073;Online;WARE-NMK1003;19/7/2018;22/9/2018;6/10/2018;7/10/2018;USD;15;Roger Alexander;50;Sundial ;93;28;Phones;2;0,075;1165,8;524,61
SO - 0001074;In-Store;WARE-PUJ1005;10/4/2018;22/9/2018;30/9/2018;5/10/2018;USD;1;Adam Hernandez;14;Linde ;291;5;Bathroom Furniture;7;0,15;174,2;116,714
SO - 0001075;In-Store;WARE-PUJ1005;10/4/2018;22/9/2018;13/10/2018;22/10/2018;USD;11;Joshua Little;27;Wuxi Group;320;38;Wardrobes;6;0,075;2378,5;1379,53
SO - 0001076;In-Store;WARE-MKL1006;19/7/2018;22/9/2018;28/9/2018;2/10/2018;USD;2;Keith Griffin;18;Eminence Corp;362;29;Pendants;4;0,1;1025,1;850,833
SO - 0001077;In-Store;WARE-NMK1003;19/7/2018;22/9/2018;16/10/2018;21/10/2018;USD;7;Shawn Cook;11;Apollo Ltd;100;17;Furniture Cushions;6;0,075;3839,1;2034,723
SO - 0001078;Online;WARE-NMK1003;19/7/2018;22/9/2018;15/10/2018;25/10/2018;USD;16;Anthony Berry;11;Apollo Ltd;170;34;Bedroom Furniture;8;0,15;1031,8;650,034
SO - 0001079;Wholesale;WARE-MKL1006;10/4/2018;22/9/2018;9/10/2018;11/10/2018;USD;27;Shawn Torres;7;New Ltd;336;16;Stemware;6;0,05;1005;623,1
SO - 0001080;Distributor;WARE-MKL1006;19/7/2018;23/9/2018;5/10/2018;13/10/2018;USD;25;Patrick Graham;31;Uriel Group;339;5;Bathroom Furniture;6;0,05;3886;2215,02
SO - 0001081;In-Store;WARE-NMK1003;19/7/2018;23/9/2018;8/10/2018;13/10/2018;USD;10;Jonathan Hawkins;30;S.S.S. Group;184;43;Festive;6;0,15;1125,6;574,056
SO - 0001082;In-Store;WARE-PUJ1005;10/4/2018;23/9/2018;2/10/2018;7/10/2018;USD;2;Keith Griffin;43;Exact-Rx, Corp;325;23;Accessories;2;0,1;3899,4;1832,718
SO - 0001083;Online;WARE-UHY1004;19/7/2018;23/9/2018;26/9/2018;27/9/2018;USD;14;Paul Holmes;5;Procter Corp;211;8;Cocktail Glasses;5;0,05;1842,5;976,525
SO - 0001084;Online;WARE-NMK1003;10/4/2018;23/9/2018;6/10/2018;7/10/2018;USD;17;Frank Brown;11;Apollo Ltd;155;27;Wreaths;2;0,05;201;86,43
SO - 0001085;Online;WARE-PUJ1005;10/4/2018;23/9/2018;17/10/2018;22/10/2018;USD;13;Todd Roberts;32;OHTA'S Corp;301;45;Home Fragrances;7;0,05;1768,8;707,52
SO - 0001086;In-Store;WARE-PUJ1005;10/4/2018;23/9/2018;29/9/2018;4/10/2018;USD;3;Jerry Green;24;Burt's Corp;267;10;Blankets;1;0,4;5996,5;3777,795
SO - 0001087;Online;WARE-MKL1006;10/4/2018;23/9/2018;12/10/2018;17/10/2018;USD;13;Todd Roberts;15;Rochester Ltd;329;29;Pendants;1;0,075;2525,9;1667,094
SO - 0001088;Distributor;WARE-XYS1001;19/7/2018;23/9/2018;13/10/2018;14/10/2018;USD;24;Roy Rice;42;Llorens Ltd;57;26;Candles;1;0,05;1005;562,8
SO - 0001089;Online;WARE-PUJ1005;10/4/2018;23/9/2018;25/9/2018;4/10/2018;USD;15;Roger Alexander;16;3LAB, Ltd;285;13;Bakeware;5;0,3;944,7;377,88
SO - 0001090;Online;WARE-UHY1004;10/4/2018;23/9/2018;1/10/2018;3/10/2018;USD;15;Roger Alexander;49;Bare ;245;32;Vases;7;0,3;1681,7;924,935
SO - 0001091;Online;WARE-MKL1006;10/4/2018;24/9/2018;2/10/2018;7/10/2018;USD;14;Paul Holmes;20;Pacific Ltd;336;10;Blankets;2;0,2;180,9;151,956
SO - 0001092;Online;WARE-PUJ1005;10/4/2018;24/9/2018;9/10/2018;13/10/2018;USD;19;Nicholas Cunningham;40;Select ;306;1;Cookware;4;0,05;1896,1;1592,724
SO - 0001093;In-Store;WARE-PUJ1005;19/7/2018;24/9/2018;6/10/2018;11/10/2018;USD;12;Carl Nguyen;41;Weimei Corp;286;14;Mirrors;8;0,075;804;410,04
SO - 0001094;In-Store;WARE-PUJ1005;19/7/2018;24/9/2018;30/9/2018;9/10/2018;USD;7;Shawn Cook;31;Uriel Group;285;30;Wall Coverings;5;0,1;1112,2;778,54
SO - 0001095;Online;WARE-NMK1003;10/4/2018;24/9/2018;14/10/2018;23/10/2018;USD;14;Paul Holmes;18;Eminence Corp;174;22;Wine Storage;7;0,1;971,5;437,175
SO - 0001096;Online;WARE-PUJ1005;10/4/2018;24/9/2018;20/10/2018;25/10/2018;USD;17;Frank Brown;30;S.S.S. Group;271;3;Table Lamps;2;0,05;2465,6;1380,736
SO - 0001097;In-Store;WARE-UHY1004;10/4/2018;24/9/2018;26/9/2018;5/10/2018;USD;2;Keith Griffin;34;OUR Ltd;208;47;Audio;6;0,05;2659,9;1915,128
SO - 0001098;Wholesale;WARE-NBV1002;19/7/2018;25/9/2018;11/10/2018;13/10/2018;USD;27;Shawn Torres;30;S.S.S. Group;61;11;Ornaments;7;0,2;1675;1155,75
SO - 0001099;Online;WARE-NMK1003;19/7/2018;25/9/2018;27/9/2018;3/10/2018;USD;14;Paul Holmes;3;Elorac, Corp;115;38;Wardrobes;5;0,05;6150,6;3505,842
SO - 0001100;Online;WARE-NMK1003;10/4/2018;25/9/2018;27/9/2018;4/10/2018;USD;16;Anthony Berry;43;Exact-Rx, Corp;172;43;Festive;5;0,05;5306,4;2387,88
SO - 0001101;Distributor;WARE-PUJ1005;19/7/2018;25/9/2018;2/10/2018;9/10/2018;USD;21;Samuel Fowler;3;Elorac, Corp;329;3;Table Lamps;6;0,15;3758,7;3082,134
SO - 0001102;Online;WARE-PUJ1005;10/4/2018;25/9/2018;5/10/2018;10/10/2018;USD;15;Roger Alexander;8;Medsep Group;318;23;Accessories;7;0,075;2291,4;1603,98
SO - 0001103;In-Store;WARE-NMK1003;10/4/2018;25/9/2018;20/10/2018;28/10/2018;USD;5;Stephen Payne;16;3LAB, Ltd;142;44;Pillows;7;0,075;5748,6;3564,132
SO - 0001104;Online;WARE-MKL1006;10/4/2018;25/9/2018;9/10/2018;13/10/2018;USD;13;Todd Roberts;22;Capweld ;355;3;Table Lamps;8;0,1;1909,5;1336,65
SO - 0001105;Online;WARE-NMK1003;19/7/2018;25/9/2018;5/10/2018;10/10/2018;USD;13;Todd Roberts;22;Capweld ;185;11;Ornaments;7;0,05;3892,7;3308,795
SO - 0001106;Online;WARE-MKL1006;10/4/2018;25/9/2018;12/10/2018;18/10/2018;USD;12;Carl Nguyen;43;Exact-Rx, Corp;362;11;Ornaments;6;0,075;1118,9;749,663
SO - 0001107;Online;WARE-NMK1003;10/4/2018;25/9/2018;21/10/2018;30/10/2018;USD;16;Anthony Berry;3;Elorac, Corp;164;12;Dining Furniture;1;0,075;3999,9;2559,936
SO - 0001108;In-Store;WARE-PUJ1005;19/7/2018;26/9/2018;6/10/2018;13/10/2018;USD;10;Jonathan Hawkins;45;Nipro ;286;39;Floor Lamps;2;0,075;1782,2;873,278
SO - 0001109;Distributor;WARE-NMK1003;19/7/2018;26/9/2018;22/10/2018;31/10/2018;USD;24;Roy Rice;12;Medline ;114;47;Audio;4;0,05;1072;707,52
SO - 0001110;In-Store;WARE-XYS1001;10/4/2018;26/9/2018;12/10/2018;19/10/2018;USD;10;Jonathan Hawkins;3;Elorac, Corp;29;2;Photo Frames;4;0,4;917,9;559,919
SO - 0001111;Distributor;WARE-PUJ1005;10/4/2018;26/9/2018;21/10/2018;31/10/2018;USD;23;Douglas Tucker;40;Select ;323;34;Bedroom Furniture;2;0,075;5252,8;2836,512
SO - 0001112;Distributor;WARE-UHY1004;19/7/2018;26/9/2018;4/10/2018;7/10/2018;USD;22;Joe Price;2;WakeFern ;213;44;Pillows;4;0,075;6505,7;5399,731
SO - 0001113;In-Store;WARE-PUJ1005;19/7/2018;26/9/2018;29/9/2018;30/9/2018;USD;4;Chris Armstrong;7;New Ltd;317;21;Floral;6;0,1;3390,2;1932,414
SO - 0001114;In-Store;WARE-PUJ1005;10/4/2018;26/9/2018;18/10/2018;24/10/2018;USD;6;Joshua Bennett;34;OUR Ltd;298;34;Bedroom Furniture;5;0,075;221,1;108,339
SO - 0001115;Online;WARE-PUJ1005;19/7/2018;26/9/2018;24/10/2018;3/11/2018;USD;14;Paul Holmes;14;Linde ;282;38;Wardrobes;2;0,05;3993,2;3034,832
SO - 0001116;In-Store;WARE-MKL1006;19/7/2018;26/9/2018;1/10/2018;6/10/2018;USD;9;Joshua Ryan;43;Exact-Rx, Corp;340;24;Wall Frames;8;0,4;2519,2;1612,288
SO - 0001117;In-Store;WARE-XYS1001;19/7/2018;27/9/2018;7/10/2018;15/10/2018;USD;9;Joshua Ryan;11;Apollo Ltd;19;21;Floral;5;0,05;3953;2964,75
SO - 0001118;In-Store;WARE-PUJ1005;10/4/2018;27/9/2018;9/10/2018;18/10/2018;USD;12;Carl Nguyen;12;Medline ;303;37;Platters;3;0,2;1092,1;840,917
SO - 0001119;Online;WARE-NBV1002;10/4/2018;27/9/2018;5/10/2018;10/10/2018;USD;20;Anthony Torres;26;Mylan Corp;84;36;Clocks;7;0,3;5835,7;4726,917
SO - 0001120;In-Store;WARE-NMK1003;10/4/2018;27/9/2018;19/10/2018;21/10/2018;USD;12;Carl Nguyen;31;Uriel Group;101;17;Furniture Cushions;5;0,05;1701,8;1276,35
SO - 0001121;Wholesale;WARE-XYS1001;10/4/2018;27/9/2018;7/10/2018;10/10/2018;USD;26;Donald Reynolds;31;Uriel Group;20;45;Home Fragrances;6;0,15;6117,1;4343,141
SO - 0001122;In-Store;WARE-MKL1006;19/7/2018;27/9/2018;21/10/2018;29/10/2018;USD;6;Joshua Bennett;6;PEDIFIX, Corp;332;16;Stemware;2;0,075;1829,1;1188,915
SO - 0001123;In-Store;WARE-MKL1006;10/4/2018;27/9/2018;30/9/2018;6/10/2018;USD;2;Keith Griffin;48;Fenwal, Corp;363;9;Baseball;5;0,075;3932,9;2477,727
SO - 0001124;Online;WARE-NMK1003;19/7/2018;27/9/2018;1/10/2018;9/10/2018;USD;15;Roger Alexander;20;Pacific Ltd;97;15;Outdoor Furniture;2;0,05;1695,1;1101,815
SO - 0001125;Online;WARE-NMK1003;19/7/2018;27/9/2018;23/10/2018;28/10/2018;USD;12;Carl Nguyen;18;Eminence Corp;199;36;Clocks;4;0,2;180,9;130,248
SO - 0001126;In-Store;WARE-NMK1003;10/4/2018;28/9/2018;5/10/2018;15/10/2018;USD;12;Carl Nguyen;2;WakeFern ;126;3;Table Lamps;1;0,15;877,7;631,944
SO - 0001127;In-Store;WARE-NBV1002;10/4/2018;28/9/2018;21/10/2018;27/10/2018;USD;9;Joshua Ryan;45;Nipro ;79;33;Outdoor Decor;7;0,15;2646,5;1984,875
SO - 0001128;In-Store;WARE-NBV1002;10/4/2018;28/9/2018;17/10/2018;23/10/2018;USD;9;Joshua Ryan;25;Prasco Group;74;47;Audio;4;0,05;5132,2;2206,846
SO - 0001129;Online;WARE-XYS1001;19/7/2018;28/9/2018;23/10/2018;2/11/2018;USD;18;Shawn Wallace;21;Ohio ;48;17;Furniture Cushions;8;0,4;5112,1;3271,744
SO - 0001130;In-Store;WARE-UHY1004;19/7/2018;28/9/2018;4/10/2018;11/10/2018;USD;12;Carl Nguyen;47;Niconovum Corp;222;31;Candleholders;7;0,05;1065,3;521,997
SO - 0001131;Online;WARE-UHY1004;19/7/2018;28/9/2018;8/10/2018;13/10/2018;USD;19;Nicholas Cunningham;13;Ole Group;216;2;Photo Frames;6;0,15;3269,6;2059,848
SO - 0001132;In-Store;WARE-PUJ1005;10/4/2018;28/9/2018;2/10/2018;9/10/2018;USD;9;Joshua Ryan;28;Dharma Ltd;315;35;Table Linens;6;0,075;6070,2;3277,908
SO - 0001133;Online;WARE-XYS1001;19/7/2018;28/9/2018;18/10/2018;23/10/2018;USD;18;Shawn Wallace;3;Elorac, Corp;33;46;Sculptures;7;0,2;1279,7;857,399
SO - 0001134;In-Store;WARE-NBV1002;19/7/2018;28/9/2018;7/10/2018;8/10/2018;USD;11;Joshua Little;41;Weimei Corp;74;18;Basketball;1;0,05;3061,9;2449,52
SO - 0001135;In-Store;WARE-UHY1004;19/7/2018;28/9/2018;2/10/2018;10/10/2018;USD;1;Adam Hernandez;24;Burt's Corp;233;15;Outdoor Furniture;2;0,05;2646,5;1217,39
SO - 0001136;Distributor;WARE-NMK1003;10/4/2018;29/9/2018;27/10/2018;31/10/2018;USD;23;Douglas Tucker;28;Dharma Ltd;169;40;Rugs;6;0,075;5232,7;3767,544
SO - 0001137;Online;WARE-NMK1003;10/4/2018;29/9/2018;15/10/2018;19/10/2018;USD;16;Anthony Berry;19;Qualitest ;105;7;Dinnerware;6;0,15;3986,5;3268,93
SO - 0001138;Online;WARE-PUJ1005;19/7/2018;29/9/2018;3/10/2018;8/10/2018;USD;16;Anthony Berry;8;Medsep Group;306;39;Floor Lamps;4;0,1;247,9;178,488
SO - 0001139;Distributor;WARE-NMK1003;19/7/2018;29/9/2018;1/10/2018;10/10/2018;USD;22;Joe Price;37;AuroMedics Corp;113;23;Accessories;6;0,15;221,1;141,504
SO - 0001140;Distributor;WARE-MKL1006;10/4/2018;29/9/2018;6/10/2018;14/10/2018;USD;23;Douglas Tucker;12;Medline ;358;45;Home Fragrances;3;0,1;1118,9;492,316
SO - 0001141;In-Store;WARE-NMK1003;10/4/2018;29/9/2018;10/10/2018;20/10/2018;USD;5;Stephen Payne;11;Apollo Ltd;146;7;Dinnerware;1;0,05;5433,7;2825,524
SO - 0001142;In-Store;WARE-PUJ1005;19/7/2018;29/9/2018;27/10/2018;28/10/2018;USD;7;Shawn Cook;17;Pure Group;291;4;Serveware;5;0,075;3028,4;1756,472
SO - 0001143;Online;WARE-PUJ1005;10/4/2018;29/9/2018;4/10/2018;14/10/2018;USD;15;Roger Alexander;22;Capweld ;296;8;Cocktail Glasses;1;0,15;3892,7;2296,693
SO - 0001144;In-Store;WARE-UHY1004;10/4/2018;29/9/2018;9/10/2018;11/10/2018;USD;12;Carl Nguyen;38;Ascend Ltd;224;39;Floor Lamps;3;0,15;2579,5;2089,395
SO - 0001145;Wholesale;WARE-NMK1003;19/7/2018;29/9/2018;3/10/2018;9/10/2018;USD;27;Shawn Torres;6;PEDIFIX, Corp;131;3;Table Lamps;6;0,05;1809;1230,12
SO - 0001146;Online;WARE-UHY1004;19/7/2018;30/9/2018;3/10/2018;5/10/2018;USD;13;Todd Roberts;22;Capweld ;215;47;Audio;4;0,075;5118,8;2457,024
SO - 0001147;Online;WARE-UHY1004;10/4/2018;30/9/2018;3/10/2018;9/10/2018;USD;12;Carl Nguyen;42;Llorens Ltd;243;29;Pendants;2;0,1;978,2;753,214
SO - 0001148;In-Store;WARE-UHY1004;19/7/2018;30/9/2018;4/10/2018;6/10/2018;USD;11;Joshua Little;29;Apotheca, Ltd;215;11;Ornaments;3;0,05;770,5;554,76
SO - 0001149;In-Store;WARE-XYS1001;10/4/2018;30/9/2018;16/10/2018;20/10/2018;USD;12;Carl Nguyen;39;Victory Ltd;22;41;Collectibles;8;0,075;1085,4;759,78
SO - 0001150;In-Store;WARE-PUJ1005;19/7/2018;30/9/2018;20/10/2018;26/10/2018;USD;10;Jonathan Hawkins;15;Rochester Ltd;309;36;Clocks;5;0,05;1989,9;795,96
SO - 0001151;In-Store;WARE-XYS1001;19/7/2018;30/9/2018;17/10/2018;19/10/2018;USD;10;Jonathan Hawkins;4;ETUDE Ltd;22;1;Cookware;4;0,05;2907,8;2180,85
SO - 0001152;Wholesale;WARE-XYS1001;10/4/2018;30/9/2018;9/10/2018;13/10/2018;USD;28;Carlos Miller;32;OHTA'S Corp;56;10;Blankets;8;0,075;1165,8;886,008
SO - 0001153;Online;WARE-NMK1003;19/7/2018;30/9/2018;19/10/2018;28/10/2018;USD;14;Paul Holmes;26;Mylan Corp;116;36;Clocks;4;0,075;5715,1;4343,476
SO - 0001154;Online;WARE-NMK1003;19/7/2018;30/9/2018;22/10/2018;31/10/2018;USD;15;Roger Alexander;35;Amylin Group;160;38;Wardrobes;7;0,1;1695,1;1254,374
SO - 0001155;Distributor;WARE-NMK1003;19/7/2018;1/10/2018;10/10/2018;19/10/2018;USD;21;Samuel Fowler;18;Eminence Corp;156;45;Home Fragrances;1;0,2;1038,5;643,87
SO - 0001156;In-Store;WARE-PUJ1005;19/7/2018;1/10/2018;7/10/2018;15/10/2018;USD;4;Chris Armstrong;32;OHTA'S Corp;315;23;Accessories;7;0,05;5788,8;2778,624
SO - 0001157;Online;WARE-XYS1001;19/7/2018;1/10/2018;21/10/2018;23/10/2018;USD;12;Carl Nguyen;9;Ei ;21;42;Bean Bags;2;0,15;2237,8;1118,9
SO - 0001158;Wholesale;WARE-MKL1006;19/7/2018;1/10/2018;26/10/2018;30/10/2018;USD;25;Patrick Graham;46;U.S. Ltd;330;36;Clocks;7;0,15;1132,3;871,871
SO - 0001159;In-Store;WARE-NMK1003;19/7/2018;1/10/2018;15/10/2018;17/10/2018;USD;10;Jonathan Hawkins;19;Qualitest ;89;12;Dining Furniture;4;0,05;891,1;552,482
SO - 0001160;Online;WARE-XYS1001;10/4/2018;1/10/2018;15/10/2018;25/10/2018;USD;16;Anthony Berry;41;Weimei Corp;20;9;Baseball;4;0,05;3819;3055,2
SO - 0001161;Distributor;WARE-PUJ1005;19/7/2018;2/10/2018;10/10/2018;19/10/2018;USD;21;Samuel Fowler;9;Ei ;287;9;Baseball;6;0,15;1232,8;702,696
SO - 0001162;Online;WARE-XYS1001;19/7/2018;2/10/2018;5/10/2018;11/10/2018;USD;12;Carl Nguyen;25;Prasco Group;14;44;Pillows;3;0,075;6331,5;2532,6
SO - 0001163;Online;WARE-XYS1001;19/7/2018;2/10/2018;15/10/2018;17/10/2018;USD;13;Todd Roberts;2;WakeFern ;51;44;Pillows;6;0,1;917,9;431,413
SO - 0001164;Online;WARE-UHY1004;19/7/2018;2/10/2018;28/10/2018;6/11/2018;USD;14;Paul Holmes;38;Ascend Ltd;246;38;Wardrobes;4;0,05;1333,3;639,984
SO - 0001165;Online;WARE-NMK1003;19/7/2018;2/10/2018;18/10/2018;23/10/2018;USD;15;Roger Alexander;43;Exact-Rx, Corp;97;24;Wall Frames;4;0,15;5467,2;3444,336
SO - 0001166;Online;WARE-PUJ1005;19/7/2018;2/10/2018;17/10/2018;18/10/2018;USD;15;Roger Alexander;15;Rochester Ltd;310;34;Bedroom Furniture;3;0,1;5896;3950,32
SO - 0001167;In-Store;WARE-NBV1002;10/4/2018;2/10/2018;8/10/2018;12/10/2018;USD;5;Stephen Payne;22;Capweld ;78;25;TV and video;1;0,2;1809;1212,03
SO - 0001168;Online;WARE-NBV1002;19/7/2018;2/10/2018;25/10/2018;31/10/2018;USD;15;Roger Alexander;26;Mylan Corp;84;17;Furniture Cushions;4;0,075;1112,2;722,93
SO - 0001169;Distributor;WARE-NMK1003;19/7/2018;3/10/2018;24/10/2018;27/10/2018;USD;25;Patrick Graham;1;Avon Corp;186;4;Serveware;4;0,05;2546;1782,2
SO - 0001170;In-Store;WARE-UHY1004;19/7/2018;3/10/2018;26/10/2018;1/11/2018;USD;10;Jonathan Hawkins;34;OUR Ltd;228;27;Wreaths;8;0,05;1139;774,52
SO - 0001171;In-Store;WARE-UHY1004;19/7/2018;3/10/2018;19/10/2018;23/10/2018;USD;8;George Lewis;49;Bare ;223;26;Candles;2;0,05;3872,6;2362,286
SO - 0001172;Online;WARE-XYS1001;10/4/2018;3/10/2018;22/10/2018;29/10/2018;USD;18;Shawn Wallace;5;Procter Corp;37;42;Bean Bags;8;0,15;1326,6;809,226
SO - 0001173;Distributor;WARE-MKL1006;19/7/2018;3/10/2018;20/10/2018;22/10/2018;USD;21;Samuel Fowler;40;Select ;347;3;Table Lamps;4;0,1;2525,9;1793,389
SO - 0001174;Online;WARE-NMK1003;10/4/2018;3/10/2018;13/10/2018;18/10/2018;USD;19;Nicholas Cunningham;3;Elorac, Corp;141;1;Cookware;4;0,15;924,6;564,006
SO - 0001175;Distributor;WARE-NMK1003;19/7/2018;3/10/2018;14/10/2018;18/10/2018;USD;24;Roy Rice;49;Bare ;128;11;Ornaments;5;0,05;261,3;146,328
SO - 0001176;Online;WARE-XYS1001;19/7/2018;4/10/2018;29/10/2018;6/11/2018;USD;12;Carl Nguyen;50;Sundial ;15;8;Cocktail Glasses;6;0,1;234,5;161,805
SO - 0001177;Distributor;WARE-PUJ1005;19/7/2018;4/10/2018;12/10/2018;16/10/2018;USD;25;Patrick Graham;35;Amylin Group;327;26;Candles;8;0,05;5775,4;4273,796
SO - 0001178;Online;WARE-NMK1003;19/7/2018;4/10/2018;23/10/2018;25/10/2018;USD;20;Anthony Torres;35;Amylin Group;182;45;Home Fragrances;6;0,05;3852,5;2812,325
SO - 0001179;Online;WARE-NMK1003;19/7/2018;4/10/2018;10/10/2018;13/10/2018;USD;18;Shawn Wallace;9;Ei ;150;30;Wall Coverings;4;0,05;1045,2;585,312
SO - 0001180;Wholesale;WARE-MKL1006;19/7/2018;4/10/2018;12/10/2018;13/10/2018;USD;27;Shawn Torres;9;Ei ;342;29;Pendants;2;0,15;864,3;535,866
SO - 0001181;In-Store;WARE-NMK1003;19/7/2018;4/10/2018;13/10/2018;23/10/2018;USD;7;Shawn Cook;49;Bare ;93;26;Candles;5;0,05;2559,4;2124,302
SO - 0001182;In-Store;WARE-UHY1004;19/7/2018;5/10/2018;29/10/2018;3/11/2018;USD;9;Joshua Ryan;35;Amylin Group;204;14;Mirrors;6;0,1;1922,9;999,908
SO - 0001183;In-Store;WARE-XYS1001;19/7/2018;5/10/2018;25/10/2018;3/11/2018;USD;6;Joshua Bennett;45;Nipro ;17;40;Rugs;8;0,075;3979,8;2865,456
SO - 0001184;In-Store;WARE-PUJ1005;19/7/2018;5/10/2018;16/10/2018;18/10/2018;USD;7;Shawn Cook;7;New Ltd;299;23;Accessories;6;0,1;917,9;706,783
SO - 0001185;In-Store;WARE-NMK1003;10/4/2018;5/10/2018;10/10/2018;18/10/2018;USD;8;George Lewis;8;Medsep Group;173;24;Wall Frames;1;0,075;3671,6;1652,22
SO - 0001186;Online;WARE-NMK1003;19/7/2018;5/10/2018;17/10/2018;25/10/2018;USD;14;Paul Holmes;14;Linde ;201;35;Table Linens;6;0,2;1018,4;651,776
SO - 0001187;Wholesale;WARE-NMK1003;19/7/2018;6/10/2018;22/10/2018;1/11/2018;USD;25;Patrick Graham;2;WakeFern ;139;25;TV and video;3;0,15;1051,9;831,001
SO - 0001188;Online;WARE-XYS1001;19/7/2018;6/10/2018;27/10/2018;6/11/2018;USD;19;Nicholas Cunningham;17;Pure Group;54;20;Bar Tools;4;0,3;1025,1;789,327
SO - 0001189;Wholesale;WARE-PUJ1005;19/7/2018;6/10/2018;31/10/2018;1/11/2018;USD;26;Donald Reynolds;46;U.S. Ltd;270;45;Home Fragrances;2;0,05;194,3;83,549
SO - 0001190;In-Store;WARE-NBV1002;10/4/2018;6/10/2018;11/10/2018;20/10/2018;USD;4;Chris Armstrong;12;Medline ;81;45;Home Fragrances;2;0,075;3993,2;1836,872
SO - 0001191;In-Store;WARE-NBV1002;19/7/2018;6/10/2018;24/10/2018;27/10/2018;USD;12;Carl Nguyen;36;O.E. Ltd;78;31;Candleholders;5;0,05;5567,7;4175,775
SO - 0001192;In-Store;WARE-NMK1003;10/4/2018;6/10/2018;8/10/2018;16/10/2018;USD;1;Adam Hernandez;42;Llorens Ltd;119;3;Table Lamps;8;0,05;1065,3;500,691
SO - 0001193;Online;WARE-NMK1003;19/7/2018;6/10/2018;28/10/2018;31/10/2018;USD;14;Paul Holmes;5;Procter Corp;156;12;Dining Furniture;5;0,075;1072;911,2
SO - 0001194;Wholesale;WARE-PUJ1005;10/4/2018;6/10/2018;20/10/2018;26/10/2018;USD;25;Patrick Graham;41;Weimei Corp;273;34;Bedroom Furniture;1;0,1;214,4;154,368
SO - 0001195;In-Store;WARE-XYS1001;19/7/2018;7/10/2018;4/11/2018;14/11/2018;USD;4;Chris Armstrong;41;Weimei Corp;44;26;Candles;2;0,1;5112,1;2913,897
SO - 0001196;In-Store;WARE-NMK1003;19/7/2018;7/10/2018;24/10/2018;29/10/2018;USD;7;Shawn Cook;11;Apollo Ltd;160;47;Audio;7;0,1;904,5;615,06
SO - 0001197;Wholesale;WARE-PUJ1005;19/7/2018;7/10/2018;25/10/2018;3/11/2018;USD;26;Donald Reynolds;6;PEDIFIX, Corp;303;42;Bean Bags;4;0,15;2324,9;1952,916
SO - 0001198;In-Store;WARE-UHY1004;10/4/2018;7/10/2018;21/10/2018;28/10/2018;USD;11;Joshua Little;32;OHTA'S Corp;211;33;Outdoor Decor;8;0,075;3993,2;3314,356
SO - 0001199;Online;WARE-PUJ1005;19/7/2018;7/10/2018;25/10/2018;3/11/2018;USD;12;Carl Nguyen;4;ETUDE Ltd;283;6;Computers;3;0,15;1025,1;594,558
SO - 0001200;In-Store;WARE-NMK1003;19/7/2018;7/10/2018;24/10/2018;26/10/2018;USD;7;Shawn Cook;32;OHTA'S Corp;108;1;Cookware;1;0,05;1306,5;888,42
SO - 0001201;In-Store;WARE-XYS1001;19/7/2018;7/10/2018;28/10/2018;31/10/2018;USD;12;Carl Nguyen;24;Burt's Corp;26;39;Floor Lamps;5;0,1;254,6;101,84
SO - 0001202;Online;WARE-UHY1004;19/7/2018;7/10/2018;25/10/2018;27/10/2018;USD;20;Anthony Torres;48;Fenwal, Corp;229;7;Dinnerware;2;0,05;1896,1;1573,763
SO - 0001203;In-Store;WARE-NMK1003;19/7/2018;8/10/2018;21/10/2018;22/10/2018;USD;11;Joshua Little;10;21st Ltd;185;20;Bar Tools;3;0,075;1058,6;571,644
SO - 0001204;Wholesale;WARE-UHY1004;19/7/2018;8/10/2018;28/10/2018;4/11/2018;USD;26;Donald Reynolds;15;Rochester Ltd;253;27;Wreaths;1;0,05;4020;2130,6
SO - 0001205;In-Store;WARE-NMK1003;10/4/2018;8/10/2018;31/10/2018;4/11/2018;USD;2;Keith Griffin;31;Uriel Group;130;3;Table Lamps;5;0,2;2003,3;861,419
